10, 10
12, 0, 0
21, 1, 0
4, 2, 0
21, 3, 0
18, 4, 0
22, 5, 0
3, 6, 0
24, 7, 0
14, 8, 0
19, 9, 0
23, 0, 1
11, 1, 1
8, 2, 1
22, 3, 1
15, 4, 1
15, 5, 1
0, 6, 1
17, 7, 1
0, 8, 1
10, 9, 1
15, 0, 2
24, 1, 2
0, 2, 2
23, 3, 2
15, 4, 2
0, 5, 2
21, 6, 2
6, 7, 2
14, 8, 2
16, 9, 2
4, 0, 3
16, 1, 3
18, 2, 3
23, 3, 3
19, 4, 3
23, 5, 3
19, 6, 3
11, 7, 3
4, 8, 3
12, 9, 3
19, 0, 4
4, 1, 4
18, 2, 4
19, 3, 4
6, 4, 4
17, 5, 4
20, 6, 4
23, 7, 4
25, 8, 4
11, 9, 4
23, 0, 5
3, 1, 5
6, 2, 5
15, 3, 5
12, 4, 5
23, 5, 5
13, 6, 5
9, 7, 5
15, 8, 5
5, 9, 5
21, 0, 6
19, 1, 6
16, 2, 6
22, 3, 6
16, 4, 6
5, 5, 6
13, 6, 6
25, 7, 6
1, 8, 6
10, 9, 6
21, 0, 7
1, 1, 7
6, 2, 7
4, 3, 7
1, 4, 7
4, 5, 7
5, 6, 7
17, 7, 7
15, 8, 7
24, 9, 7
15, 0, 8
20, 1, 8
11, 2, 8
20, 3, 8
17, 4, 8
9, 5, 8
6, 6, 8
7, 7, 8
13, 8, 8
2, 9, 8
20, 0, 9
11, 1, 9
19, 2, 9
13, 3, 9
6, 4, 9
11, 5, 9
19, 6, 9
13, 7, 9
17, 8, 9
7, 9, 9
6, 6
4, 7
9, 5
1, 6
