7, 9
7, 0, 0
22, 1, 0
17, 2, 0
4, 3, 0
9, 4, 0
9, 5, 0
10, 6, 0
5, 0, 1
9, 1, 1
16, 2, 1
25, 3, 1
9, 4, 1
21, 5, 1
8, 6, 1
23, 0, 2
12, 1, 2
5, 2, 2
23, 3, 2
8, 4, 2
11, 5, 2
18, 6, 2
21, 0, 3
24, 1, 3
2, 2, 3
7, 3, 3
10, 4, 3
1, 5, 3
9, 6, 3
7, 0, 4
5, 1, 4
14, 2, 4
22, 3, 4
9, 4, 4
2, 5, 4
14, 6, 4
22, 0, 5
1, 1, 5
3, 2, 5
23, 3, 5
3, 4, 5
25, 5, 5
25, 6, 5
24, 0, 6
15, 1, 6
19, 2, 6
0, 3, 6
13, 4, 6
12, 5, 6
1, 6, 6
19, 0, 7
6, 1, 7
20, 2, 7
14, 3, 7
0, 4, 7
25, 5, 7
21, 6, 7
0, 0, 8
21, 1, 8
4, 2, 8
6, 3, 8
1, 4, 8
19, 5, 8
11, 6, 8
4, 6
6, 0
1, 4
2, 0
2, 4
0, 2
